ds,yhat
2023-03-15,151.78
2023-03-16,152.24
2023-03-17,152.94
2023-03-20,154.78
2023-03-21,155.31
2023-03-22,155.78
2023-03-23,156.22
2023-03-24,156.85
2023-03-27,158.21
2023-03-28,158.51
2023-03-29,158.74
2023-03-30,158.91
2023-03-31,159.27
2023-04-03,159.34
2023-04-04,159.25
2023-04-05,159.12
2023-04-06,158.97
2023-04-10,159.07
2023-04-11,159.07
2023-04-12,159.06
2023-04-13,159.08
2023-04-14,159.37
2023-04-17,160.19
2023-04-18,160.49
2023-04-19,160.8
2023-04-20,161.13
2023-04-21,161.72
2023-04-24,163.35
2023-04-25,163.86
2023-04-26,164.35
2023-04-27,164.82
2023-04-28,165.51
2023-05-01,167.21
2023-05-02,167.67
2023-05-03,168.07
2023-05-04,168.43
2023-05-05,168.99
2023-05-08,170.2
2023-05-09,170.5
2023-05-10,170.74
2023-05-11,170.96
2023-05-12,171.38
2023-05-15,172.36
2023-05-16,172.64
2023-05-17,172.89
2023-05-18,173.16
2023-05-19,173.66
2023-05-22,175.05
2023-05-23,175.51
2023-05-24,175.96
2023-05-25,176.43
2023-05-26,177.15
2023-05-30,179.8
2023-05-31,179.74
2023-06-01,179.67
2023-06-02,179.83
2023-06-05,180.03
2023-06-06,180.02
2023-06-07,179.97
2023-06-08,179.89
2023-06-09,180.03
2023-06-12,180.11
2023-06-13,180.07
2023-06-14,179.99
2023-06-15,179.9
2023-06-16,180.04
2023-06-20,180.3
2023-06-21,180.34
2023-06-22,180.4
2023-06-23,180.71
2023-06-26,181.57
2023-06-27,181.86
2023-06-28,182.15
2023-06-29,182.46
2023-06-30,183.01
2023-07-03,184.49
2023-07-05,185.35
2023-07-06,185.74
2023-07-07,186.34
2023-07-10,187.69
2023-07-11,188.01
2023-07-12,188.26
2023-07-13,188.45
2023-07-14,188.81
2023-07-17,189.33
2023-07-18,189.35
2023-07-19,189.3
2023-07-20,189.2
2023-07-21,189.29
2023-07-24,189.18
2023-07-25,189.07
2023-07-26,188.94
2023-07-27,188.81
2023-07-28,188.16
2023-07-31,186.17
2023-08-01,185.53
2023-08-02,184.91
2023-08-03,184.33
2023-08-04,184.03
2023-08-07,183.17
2023-08-08,182.93
2023-08-09,182.7
2023-08-10,182.5
2023-08-11,182.55
2023-08-14,182.57
2023-08-15,182.53
2023-08-16,182.46
2023-08-17,182.37
2023-08-18,182.49
2023-08-21,182.39
2023-08-22,182.22
2023-08-23,181.99
2023-08-24,181.7
2023-08-25,181.59
2023-08-28,180.73
2023-08-29,180.3
2023-08-30,179.81
2023-08-31,179.28
2023-09-01,178.94
2023-09-05,177.02
2023-09-06,176.46
2023-09-07,175.88
2023-09-08,175.54
2023-09-11,174.3
2023-09-12,173.86
2023-09-13,173.41
2023-09-14,172.96
2023-09-15,172.75
2023-09-18,171.93
2023-09-19,171.61
2023-09-20,171.27
2023-09-21,170.91
2023-09-22,170.78
2023-09-25,171.62
2023-09-26,171.82
2023-09-27,171.97
2023-09-28,172.09
2023-09-29,172.42
2023-10-02,173.01
2023-10-03,173.11
2023-10-04,173.17
2023-10-05,173.21
2023-10-06,173.46
2023-10-09,173.92
2023-10-10,174.01
2023-10-11,174.08
2023-10-12,174.14
2023-10-13,174.44
2023-10-16,175.14
2023-10-17,175.34
2023-10-18,175.52
2023-10-19,175.7
2023-10-20,176.12
2023-10-23,177.14
2023-10-24,177.42
2023-10-25,177.67
2023-10-26,177.9
2023-10-27,178.35
2023-10-30,179.31
2023-10-31,179.53
2023-11-01,179.7
2023-11-02,179.83
2023-11-03,180.16
2023-11-06,180.71
2023-11-07,180.78
2023-11-08,180.81
2023-11-09,180.8
2023-11-10,180.99
2023-11-13,181.24
2023-11-14,181.26
2023-11-15,181.24
2023-11-16,181.21
2023-11-17,181.41
2023-11-20,182.78
2023-11-21,183.2
2023-11-22,183.6
2023-11-24,184.65
2023-11-27,186.34
2023-11-28,186.84
2023-11-29,187.32
2023-11-30,187.78
2023-12-01,188.45
2023-12-04,190.09
2023-12-05,190.52
2023-12-06,190.89
2023-12-07,191.21
2023-12-08,191.72
2023-12-11,192.7
2023-12-12,192.87
2023-12-13,192.96
2023-12-14,192.99
2023-12-15,193.19
2023-12-18,193.24
2023-12-19,193.1
2023-12-20,192.89
2023-12-21,192.63
2023-12-22,192.55
2023-12-26,191.51
2023-12-27,191.1
2023-12-28,190.67
2023-12-29,190.44
2024-01-02,188.99
2024-01-03,188.53
2024-01-04,188.06
2024-01-05,187.82
2024-01-08,186.84
2024-01-09,186.46
2024-01-10,186.08
2024-01-11,185.69
2024-01-12,185.55
2024-01-16,184.79
2024-01-17,184.6
2024-01-18,184.42
2024-01-19,184.51
2024-01-22,184.71
2024-01-23,184.78
2024-01-24,184.85
2024-01-25,184.95
2024-01-26,185.29
2024-01-29,186.18
2024-01-30,186.44
2024-01-31,186.67
2024-02-01,186.89
2024-02-02,187.32
2024-02-05,188.18
2024-02-06,188.33
2024-02-07,188.41
2024-02-08,188.41
2024-02-09,188.58
2024-02-12,188.37
2024-02-13,188.09
2024-02-14,187.69
2024-02-15,187.2
2024-02-16,186.85
2024-02-20,184.28
2024-02-21,183.4
2024-02-22,182.46
2024-02-23,181.7
2024-02-26,178.98
2024-02-27,178.0
2024-02-28,176.99
2024-02-29,175.99
2024-03-01,175.23
2024-03-04,172.9
2024-03-05,172.15
2024-03-06,171.42
2024-03-07,170.74
2024-03-08,170.34
2024-03-11,169.16
2024-03-12,168.8
2024-03-13,168.45
2024-03-14,168.12
2024-03-15,168.04
2024-03-18,167.59
2024-03-19,167.94
2024-03-20,168.25
2024-03-21,168.52
2024-03-22,168.99
2024-03-25,169.91
2024-03-26,170.07
2024-03-27,170.16
2024-03-28,170.19
2024-04-01,170.52
2024-04-02,170.44
2024-04-03,170.31
2024-04-04,170.15
2024-04-05,170.21
2024-04-08,170.12
2024-04-09,170.07
2024-04-10,170.0
2024-04-11,169.96
2024-04-12,170.18
2024-04-15,170.79
2024-04-16,171.01
2024-04-17,171.25
2024-04-18,171.52
2024-04-19,172.05
2024-04-22,173.54
2024-04-23,174.02
2024-04-24,174.48
2024-04-25,174.93
2024-04-26,175.61
2024-04-29,177.31
2024-04-30,177.78
2024-05-01,178.2
2024-05-02,178.58
2024-05-03,179.15
2024-05-06,180.42
2024-05-07,180.72
2024-05-08,180.97
2024-05-09,181.19
2024-05-10,181.61
2024-05-13,182.54
2024-05-14,182.79
2024-05-15,183.01
2024-05-16,183.22
2024-05-17,183.67
2024-05-20,184.88
2024-05-21,185.28
2024-05-22,185.67
2024-05-23,186.08
2024-05-24,186.73
2024-05-28,189.18
2024-05-29,189.76
2024-05-30,190.34
2024-05-31,191.15
2024-06-03,193.32
2024-06-04,193.97
2024-06-05,194.59
2024-06-06,195.19
2024-06-07,196.0
2024-06-10,198.08
2024-06-11,198.7
2024-06-12,199.27
2024-06-13,199.84
2024-06-14,200.63
2024-06-17,202.76
2024-06-18,203.43
2024-06-20,204.78
2024-06-21,205.71
2024-06-24,208.41
2024-06-25,209.32
2024-06-26,210.23
2024-06-27,211.15
2024-06-28,212.33
2024-07-01,215.72
2024-07-02,216.82
2024-07-03,217.89
2024-07-05,220.22
2024-07-08,223.65
2024-07-09,224.67
2024-07-10,225.63
2024-07-11,226.53
2024-07-12,227.61
2024-07-15,227.03
2024-07-16,226.68
2024-07-17,226.26
2024-07-18,225.78
2024-07-19,225.49
2024-07-22,224.17
2024-07-23,223.64
2024-07-24,223.07
2024-07-25,222.5
2024-07-26,222.16
2024-07-29,221.02
2024-07-30,220.65
2024-07-31,220.3
2024-08-01,219.98
2024-08-02,219.94
2024-08-05,219.87
2024-08-06,219.9
2024-08-07,219.94
2024-08-08,220.02
2024-08-09,220.36
2024-08-12,221.28
2024-08-13,221.57
2024-08-14,221.83
2024-08-15,222.08
2024-08-16,222.54
2024-08-19,223.54
2024-08-20,223.75
2024-08-21,223.89
2024-08-22,223.99
2024-08-23,224.26
2024-08-26,224.54
2024-08-27,224.49
2024-08-28,224.37
2024-08-29,224.21
2024-08-30,224.23
2024-09-03,223.7
2024-09-04,223.46
2024-09-05,223.21
2024-09-06,223.18
2024-09-09,222.88
2024-09-10,222.81
2024-09-11,222.73
2024-09-12,222.66
2024-09-13,222.83
2024-09-16,223.15
2024-09-17,223.21
2024-09-18,223.26
2024-09-19,223.3
2024-09-20,223.56
2024-09-23,224.05
2024-09-24,224.13
2024-09-25,224.17
2024-09-26,224.18
2024-09-27,224.4
